year,month,item,category,city,price
2023,3,bananas (kela) local,SPI Items,Rawalpindi,315.49
2023,3,bananas (kela) local,SPI Items,Gujranwala,170.51
2023,3,bananas (kela) local,SPI Items,Sialkot,193.6
2023,3,bananas (kela) local,SPI Items,Lahore,206.56
2023,3,bananas (kela) local,SPI Items,Faisalabad,189.73
2023,3,bananas (kela) local,SPI Items,Sargodha,168.84
2023,3,bananas (kela) local,SPI Items,Multan,291.93
2023,3,bananas (kela) local,SPI Items,Bahawalpur,252.32
2023,3,bananas (kela) local,SPI Items,Karachi,173.9
2023,3,bananas (kela) local,SPI Items,Hyderabad,156.28
2023,3,bananas (kela) local,SPI Items,Sukkur,168.29
2023,3,bananas (kela) local,SPI Items,Larkana,133.28
2023,3,bananas (kela) local,SPI Items,Peshawar,207.42
2023,3,bananas (kela) local,SPI Items,Bannu,253.79
2023,3,bananas (kela) local,SPI Items,Quetta,174.19
2023,3,bananas (kela) local,SPI Items,Khuzdar,147.22
2023,3,pulse masoor (washed),SPI Items,Islamabad,299.81
2023,3,pulse masoor (washed),SPI Items,Rawalpindi,292.67
2023,3,pulse masoor (washed),SPI Items,Gujranwala,261.97
2023,3,pulse masoor (washed),SPI Items,Sialkot,251.97
2023,3,pulse masoor (washed),SPI Items,Lahore,259.0
2023,3,pulse masoor (washed),SPI Items,Faisalabad,283.76
2023,3,pulse masoor (washed),SPI Items,Sargodha,306.63
2023,3,pulse masoor (washed),SPI Items,Multan,272.15
2023,3,pulse masoor (washed),SPI Items,Bahawalpur,277.18
2023,3,pulse masoor (washed),SPI Items,Karachi,295.15
2023,3,pulse masoor (washed),SPI Items,Hyderabad,286.54
2023,3,pulse masoor (washed),SPI Items,Sukkur,271.82
2023,3,pulse masoor (washed),SPI Items,Larkana,275.83
2023,3,pulse masoor (washed),SPI Items,Peshawar,271.66
2023,3,pulse masoor (washed),SPI Items,Bannu,250.65
2023,3,pulse masoor (washed),SPI Items,Quetta,314.97
2023,3,pulse masoor (washed),SPI Items,Khuzdar,296.63
2023,3,pulse moong (washed),SPI Items,Islamabad,298.06
2023,3,pulse moong (washed),SPI Items,Rawalpindi,273.81
2023,3,pulse moong (washed),SPI Items,Gujranwala,267.82
2023,3,pulse moong (washed),SPI Items,Sialkot,253.88
2023,3,pulse moong (washed),SPI Items,Lahore,263.7
2023,3,pulse moong (washed),SPI Items,Faisalabad,252.96
2023,3,pulse moong (washed),SPI Items,Sargodha,296.63
2023,3,pulse moong (washed),SPI Items,Multan,279.96
2023,3,pulse moong (washed),SPI Items,Bahawalpur,273.17
2023,3,pulse moong (washed),SPI Items,Karachi,298.72
2023,3,pulse moong (washed),SPI Items,Hyderabad,284.87
2023,3,pulse moong (washed),SPI Items,Sukkur,315.96
2023,3,pulse moong (washed),SPI Items,Larkana,283.89
2023,3,pulse moong (washed),SPI Items,Peshawar,269.32
2023,3,pulse moong (washed),SPI Items,Bannu,258.52
2023,3,pulse moong (washed),SPI Items,Quetta,340.94
2023,3,pulse moong (washed),SPI Items,Khuzdar,313.19
2023,3,pulse mash (washed),SPI Items,Islamabad,455.66
2023,3,pulse mash (washed),SPI Items,Rawalpindi,446.63
2023,3,pulse mash (washed),SPI Items,Gujranwala,429.28
2023,3,pulse mash (washed),SPI Items,Sialkot,429.0
2023,3,pulse mash (washed),SPI Items,Lahore,422.35
2023,3,pulse mash (washed),SPI Items,Faisalabad,419.87
2023,3,pulse mash (washed),SPI Items,Sargodha,433.31
2023,3,pulse mash (washed),SPI Items,Multan,442.51
2023,3,pulse mash (washed),SPI Items,Bahawalpur,424.59
2023,3,pulse mash (washed),SPI Items,Karachi,439.6
2023,3,pulse mash (washed),SPI Items,Hyderabad,433.92
2023,3,pulse mash (washed),SPI Items,Sukkur,420.0
2023,3,pulse mash (washed),SPI Items,Larkana,372.36
2023,3,pulse mash (washed),SPI Items,Peshawar,435.96
2023,3,pulse mash (washed),SPI Items,Bannu,425.79
2023,3,pulse mash (washed),SPI Items,Quetta,454.98
2023,3,pulse mash (washed),SPI Items,Khuzdar,280.0
2023,3,pulse gram,SPI Items,Islamabad,281.98
2023,3,pulse gram,SPI Items,Rawalpindi,261.87
2023,3,pulse gram,SPI Items,Gujranwala,223.95
2023,3,pulse gram,SPI Items,Sialkot,223.95
2023,3,pulse gram,SPI Items,Lahore,246.76
2023,3,pulse gram,SPI Items,Faisalabad,243.95
2023,3,pulse gram,SPI Items,Sargodha,240.0
2023,3,pulse gram,SPI Items,Multan,263.48
2023,3,pulse gram,SPI Items,Bahawalpur,258.43
2023,3,pulse gram,SPI Items,Karachi,277.89
2023,3,pulse gram,SPI Items,Hyderabad,251.33
2023,3,pulse gram,SPI Items,Sukkur,260.0
2023,3,pulse gram,SPI Items,Larkana,243.9
2023,3,pulse gram,SPI Items,Peshawar,264.42
2023,3,pulse gram,SPI Items,Bannu,236.62
2023,3,pulse gram,SPI Items,Quetta,307.9
2023,3,pulse gram,SPI Items,Khuzdar,273.29
2023,3,potatoes,SPI Items,Islamabad,74.82
2023,3,potatoes,SPI Items,Rawalpindi,63.77
2023,3,potatoes,SPI Items,Gujranwala,52.06
2023,3,potatoes,SPI Items,Sialkot,49.32
2023,3,potatoes,SPI Items,Lahore,57.05
2023,3,potatoes,SPI Items,Faisalabad,49.43
2023,3,potatoes,SPI Items,Sargodha,50.2
2023,3,potatoes,SPI Items,Multan,51.23
2023,3,potatoes,SPI Items,Bahawalpur,55.78
2023,3,potatoes,SPI Items,Karachi,48.43
2023,3,potatoes,SPI Items,Hyderabad,44.21
2023,3,potatoes,SPI Items,Sukkur,43.73
2023,3,potatoes,SPI Items,Larkana,42.74
2023,3,potatoes,SPI Items,Peshawar,65.31
2023,3,potatoes,SPI Items,Bannu,51.44
2023,3,potatoes,SPI Items,Quetta,50.24
2023,3,potatoes,SPI Items,Khuzdar,51.86
2023,3,onions,SPI Items,Islamabad,180.53
2023,3,onions,SPI Items,Rawalpindi,163.56
2023,3,onions,SPI Items,Gujranwala,134.29
2023,3,onions,SPI Items,Sialkot,137.41
2023,3,onions,SPI Items,Lahore,139.46
2023,3,onions,SPI Items,Faisalabad,124.54
2023,3,onions,SPI Items,Sargodha,121.66
2023,3,onions,SPI Items,Multan,131.36
2023,3,onions,SPI Items,Bahawalpur,134.02
2023,3,onions,SPI Items,Karachi,122.59
2023,3,onions,SPI Items,Hyderabad,117.02
2023,3,onions,SPI Items,Sukkur,102.87
2023,3,onions,SPI Items,Larkana,116.94
2023,3,onions,SPI Items,Peshawar,151.58
2023,3,onions,SPI Items,Bannu,138.18
2023,3,onions,SPI Items,Quetta,143.5
2023,3,onions,SPI Items,Khuzdar,140.57
2023,3,tomatoes,SPI Items,Islamabad,99.42
2023,3,tomatoes,SPI Items,Rawalpindi,86.33
2023,3,tomatoes,SPI Items,Gujranwala,84.21
2023,3,tomatoes,SPI Items,Sialkot,74.17
2023,3,tomatoes,SPI Items,Lahore,76.13
2023,3,tomatoes,SPI Items,Faisalabad,74.47
2023,3,tomatoes,SPI Items,Sargodha,67.6
2023,3,tomatoes,SPI Items,Multan,65.91
2023,3,tomatoes,SPI Items,Bahawalpur,74.16
2023,3,tomatoes,SPI Items,Karachi,45.54
2023,3,tomatoes,SPI Items,Hyderabad,38.0
2023,3,tomatoes,SPI Items,Sukkur,52.1
2023,3,tomatoes,SPI Items,Larkana,48.05
2023,3,tomatoes,SPI Items,Peshawar,76.77
2023,3,tomatoes,SPI Items,Bannu,60.23
2023,3,tomatoes,SPI Items,Quetta,55.7
2023,3,tomatoes,SPI Items,Khuzdar,55.29
2023,3,sugar refined,SPI Items,Islamabad,106.56
2023,3,sugar refined,SPI Items,Rawalpindi,106.8
2023,3,sugar refined,SPI Items,Gujranwala,104.53
2023,3,sugar refined,SPI Items,Sialkot,106.92
2023,3,sugar refined,SPI Items,Lahore,104.92
2023,3,sugar refined,SPI Items,Faisalabad,103.48
2023,3,sugar refined,SPI Items,Sargodha,102.78
2023,3,sugar refined,SPI Items,Multan,101.72
2023,3,sugar refined,SPI Items,Bahawalpur,104.48
2023,3,sugar refined,SPI Items,Karachi,106.97
2023,3,sugar refined,SPI Items,Hyderabad,102.25
2023,3,sugar refined,SPI Items,Sukkur,102.11
2023,3,sugar refined,SPI Items,Larkana,99.94
2023,3,sugar refined,SPI Items,Peshawar,106.33
2023,3,sugar refined,SPI Items,Bannu,101.92
2023,3,sugar refined,SPI Items,Quetta,106.33
2023,3,sugar refined,SPI Items,Khuzdar,103.94
2023,3,gur (average quality),SPI Items,Islamabad,159.8
2023,3,gur (average quality),SPI Items,Rawalpindi,159.19
2023,3,gur (average quality),SPI Items,Gujranwala,137.19
2023,3,gur (average quality),SPI Items,Sialkot,160.0
2023,3,gur (average quality),SPI Items,Lahore,146.13
2023,3,gur (average quality),SPI Items,Faisalabad,143.92
2023,3,gur (average quality),SPI Items,Sargodha,140.5
2023,3,gur (average quality),SPI Items,Multan,128.93
2023,3,gur (average quality),SPI Items,Bahawalpur,133.25
2023,3,gur (average quality),SPI Items,Karachi,162.12
2023,3,gur (average quality),SPI Items,Hyderabad,160.81
2023,3,gur (average quality),SPI Items,Sukkur,141.94
2023,3,gur (average quality),SPI Items,Larkana,124.45
2023,3,gur (average quality),SPI Items,Peshawar,140.0
2023,3,gur (average quality),SPI Items,Bannu,129.74
2023,3,gur (average quality),SPI Items,Quetta,169.8
2023,3,gur (average quality),SPI Items,Khuzdar,146.59
2023,3,salt powdered (national/shan) 80,SPI Items,Rawalpindi,57.15
2023,3,salt powdered (national/shan) 80,SPI Items,Gujranwala,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Sialkot,60.0
2023,3,salt powdered (national/shan) 80,SPI Items,Lahore,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Faisalabad,53.78
